Anatomy,"MSK, Skin and Connective tissue",Neonate with arm paralysis following difficult birth ?,Klumpke'e palsy,Erb-Duchenne palsy,Saturday night palsy,Erb-Duchenne palsy
Anatomy,"MSK, Skin and Connective tissue","Childbirth defect affecting the inferior trunk of brachial plexus ( C8,T1) ?",Klumpke'e palsy,Erb-Duchenne palsy,Saturday night palsy,Klumpke's palsy
Anatomy,"MSK, Skin and Connective tissue",Fracture at midshaft of humerus causes ?,Klumpke'e palsy,Erb-Duchenne palsy,Saturday night palsy,Saturday night palsy
Anatomy,"MSK, Skin and Connective tissue",Sudden traction on the outstretched and pronated arm of a child causes ?,Klumpke'e palsy,Nursemaid's elbow,Carpal tunnel syndrome,Nursemaid's elbow
Anatomy,"MSK, Skin and Connective tissue",Fracture at the surgical neck of humerus damages ?,Radial nerve,Ulnar nerve,Axillary nerve,Axillary nerve
Anatomy,"MSK, Skin and Connective tissue",Fracture at the medial epicondyle damages ?,Radial nerve,Ulnar nerve,Axillary nerve,Ulnar nerve
Anatomy,"MSK, Skin and Connective tissue",Fracture at the mid shaft of humerus damages ?,Radial nerve,Ulnar nerve,Axillary nerve,Radial nerve
Anatomy,"MSK, Skin and Connective tissue",Wrist drop is a sign of damage of which nerve ?,Radial nerve,Ulnar nerve,Median nerve,Radial nerve
Anatomy,"MSK, Skin and Connective tissue",Carpal tunnel sydrome is caused by compression of which nerve ?,Radial nerve,Ulnar nerve,Median nerve,Median nerve
Anatomy,"MSK, Skin and Connective tissue",Claw hand with loss of medial lumbrical function is caused by damage of ?,Ulnar nerve,Median Nerve,Radial nerve,Ulnar nerve
Anatomy,"MSK, Skin and Connective tissue",Claw hand with loss of lateral lumbrical function is caused by damage of ?,Ulnar nerve,Median Nerve,Radial nerve,Median nerve
Anatomy,"MSK, Skin and Connective tissue",Unopposable thumb ( Ape hand ) is caused by damage of ?,Distal median nerve,Proximal median nerve,Radial nerve,Proximal median nerve
Anatomy,"MSK, Skin and Connective tissue",Winging of scapula is caused by damage to ?,Radial nerve,Long thoracic nerve,Axillary nerve,Long thoracic nerve
Anatomy,"MSK, Skin and Connective tissue",Loss of sensation on dorsum of foot is caused by damage of ?,Common peroneal nerve,Obturator nerve,Tibial nerve,Common peroneal nerve
Anatomy,"MSK, Skin and Connective tissue",Which is the safest quadrant for intramuscular injections in the buttock ?,Superomedial,Superolateral,Inferomedial,Superolateral
Anatomy,"MSK, Skin and Connective tissue",Muscles of the medial compartment of tigh are supplied by ?,Femoral nerve,Inferior gulteal nerve,Obturator nerve,Obturator nerve
Anatomy,"MSK, Skin and Connective tissue",Positive Trendlenburg test is caused by damage of ?,Femoral nerve,Inferior gulteal nerve,Superior gluteal nerve,Superior gluteal nerve
Anatomy,"MSK, Skin and Connective tissue",Difficulty rising from seated position is caused by damage of ?,Femoral nerve,Inferior gulteal nerve,Superior gluteal nerve,Inferior gluteal nerve
Anatomy,"MSK, Skin and Connective tissue",Loss of sensation on skin of sole of foot is caused by damage of ?,Common peroneal nerve,Obturator nerve,Tibial nerve,Tibial nerve
Anatomy,"MSK, Skin and Connective tissue",Foot drop is caused by damage of which nerve ?,Common peroneal nerve,Inferior gulteal nerve,Femoral nerve,Common peroneal nerve
Biochemsitry,Genetics,"Infant with microcephaly, rocker-bottom feet, clenched hands, and structural heart defect ?",Edward's syndrome,Patau's syndrome,Down syndrome,Edward's syndrome
Biochemsitry,Genetics,"Infant with microcephaly, cleft lip/palate, polydactyly and omphalocele ?",Edward's syndrome,Patau's syndrome,Down syndrome,Patau's syndrome
Biochemsitry,Genetics,"Infant with mental retardation, flat facies, epicanthal folds and simian crease ?",Edward's syndrome,Patau's syndrome,Down syndrome,Down syndrome
Biochemsitry,Genetics,MCC of increased alpha feto protein during preganancy ?,Neural tube defects,Dating error,Multiple gestation,Dating error
